bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(3.9401, 3.9404]",3.940157464452776,3.940412349397983,3,"(('bin_equal_frequency_2', 'x1'), ('IQR', 'x5'), ('bin_equal_frequency_5', 'x6'))",77
"(3.9404, 3.9407]",3.9404194191208677,3.9406885977609813,2,"(('IQR', 'x2'), ('IQR', 'x6'))",226
"(3.9407, 3.941]",3.9406954662909786,3.9409609290880843,2,"(('IQR', 'x5'), ('bin_equal_frequency_5', 'x6'))",165
"(3.941, 3.9412]",3.940966353178749,3.9412387037322545,2,"(('bin_equal_width_5', 'x3'), ('IQR', 'x3'))",201
"(3.9412, 3.9415]",3.941246082063099,3.9415038169915437,3,"(('bin_equal_frequency_2', 'x1'), ('zscore_clip_3', 'x2'), ('bin_equal_frequency_2', 'x3'))",80
"(3.9415, 3.9418]",3.9415265058868396,3.9417832196693703,3,"(('bin_equal_frequency_5', 'x1'), ('bin_equal_width_5', 'x3'), ('IQR', 'x3'))",29
"(3.9418, 3.9421]",3.941806557171355,3.942029399113833,2,"(('IQR', 'x5'), ('bin_equal_width_10', 'x6'))",78
"(3.9421, 3.9423]",3.9420683601000475,3.9423317709653594,3,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_width_2', 'x3'), ('IQR', 'x6'))",63
"(3.9423, 3.9426]",3.9423492272847462,3.942597898652097,3,"(('bin_equal_frequency_10', 'x1'), ('bin_equal_width_5', 'x3'), ('IQR', 'x3'))",20
"(3.9426, 3.9429]",3.9426363741795365,3.9428742834127286,3,"(('bin_equal_frequency_2', 'x1'), ('zscore_clip_3', 'x2'), ('bin_equal_width_5', 'x2'))",45
"(3.9429, 3.9432]",3.9429038589890415,3.943158999633696,3,"(('bin_equal_frequency_5', 'x1'), ('IQR', 'x2'), ('IQR', 'x6'))",30
"(3.9432, 3.9434]",3.9431745762506187,3.943422274802638,2,"(('bin_equal_width_5', 'x1'), ('IQR', 'x6'))",145
"(3.9434, 3.9437]",3.94344941179073,3.9436960140494692,2,"(('bin_equal_width_2', 'x3'), ('IQR', 'x6'))",182
"(3.9437, 3.944]",3.9437125947140537,3.943978082184666,2,"(('IQR', 'x2'), ('bin_equal_width_5', 'x6'))",91
"(3.944, 3.9443]",3.943987315340032,3.944249379177181,3,"(('bin_equal_width_5', 'x1'), ('bin_equal_width_2', 'x2'), ('bin_equal_width_5', 'x6'))",29
"(3.9443, 3.9445]",3.944262853317937,3.944530225468457,3,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_width_10', 'x2'), ('IQR', 'x6'))",58
"(3.9445, 3.9448]",3.944532057784777,3.9448006717995256,2,"(('norm_log', 'x4'), ('IQR', 'x6'))",121
"(3.9448, 3.9451]",3.944807394752994,3.9450754460931066,2,"(('bin_equal_frequency_2', 'x5'), ('IQR', 'x6'))",259
"(3.9451, 3.9454]",3.945085512887278,3.9453398521303833,2,"(('zscore_filter_3', 'x2'), ('IQR', 'x6'))",111
"(3.9454, 3.9456]",3.945354843622241,3.9456259565925866,2,"(('IQR', 'x2'), ('zscore_filter_3', 'x5'))",394
"(3.9456, 3.9459]",3.9456312352294702,3.945900494567,2,"(('bin_equal_width_10', 'x2'), ('IQR', 'x6'))",173
"(3.9459, 3.9462]",3.945907310896853,3.9461765530588484,2,"(('bin_equal_width_5', 'x2'), ('bin_equal_width_5', 'x6'))",252
"(3.9462, 3.9465]",3.9461797729834376,3.9464500362687436,1,"(('IQR', 'x6'),)",2101
"(3.9465, 3.9467]",3.9464514720187336,3.946720963156355,2,"(('bin_equal_frequency_2', 'x1'), ('IQR', 'x6'))",1521
"(3.9467, 3.947]",3.94672576127687,3.9469923204583233,2,"(('zscore_clip_3', 'x2'), ('IQR', 'x6'))",371
"(3.947, 3.9473]",3.947000209717418,3.9472708463699298,2,"(('bin_equal_width_2', 'x1'), ('IQR', 'x6'))",291
"(3.9473, 3.9475]",3.94727783852759,3.947539801685373,2,"(('bin_equal_width_2', 'x1'), ('bin_equal_width_5', 'x6'))",595
"(3.9475, 3.9478]",3.947549576803677,3.947821459458924,2,"(('bin_equal_width_5', 'x1'), ('zscore_filter_3', 'x5'))",233
"(3.9478, 3.9481]",3.9478229593515795,3.9480725164022257,2,"(('norm_log', 'x4'), ('bin_equal_width_5', 'x6'))",130
"(3.9481, 3.9484]",3.9481014162710797,3.9483711045831753,3,"(('bin_equal_frequency_2', 'x1'), ('IQR', 'x2'), ('zscore_filter_3', 'x5'))",147
"(3.9484, 3.9486]",3.948375101199693,3.948645029871453,2,"(('norm_log', 'x1'), ('IQR', 'x6'))",158
"(3.9486, 3.9489]",3.9486467813721027,3.9489172292608266,2,"(('bin_equal_frequency_5', 'x1'), ('IQR', 'x6'))",612
"(3.9489, 3.9492]",3.9489211384052387,3.949193913529899,2,"(('zscore_clip_3', 'x5'), ('bin_equal_width_5', 'x6'))",242
"(3.9492, 3.9495]",3.949198510185348,3.949457393217755,1,"(('bin_equal_width_5', 'x6'),)",1512
"(3.9495, 3.9497]",3.9494759696669965,3.9497422943486384,2,"(('winsorize', 'x1'), ('bin_equal_width_5', 'x6'))",452
"(3.9497, 3.95]",3.9497435215841667,3.950016446198949,2,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_width_5', 'x6'))",1411
"(3.95, 3.9503]",3.950020532421573,3.9502864830688784,2,"(('bin_equal_frequency_2', 'x2'), ('zscore_filter_3', 'x5'))",340
"(3.9503, 3.9506]",3.950292261968158,3.9505651732141582,2,"(('bin_equal_frequency_2', 'x1'), ('zscore_filter_3', 'x5'))",1663
"(3.9506, 3.9508]",3.950566291808508,3.9508202510377854,1,"(('zscore_filter_3', 'x5'),)",1878
"(3.9508, 3.9511]",3.950845781194552,3.951110997544755,2,"(('bin_equal_width_2', 'x1'), ('zscore_filter_3', 'x5'))",495
"(3.9511, 3.9514]",3.9511149351700556,3.951383481231696,2,"(('bin_equal_frequency_5', 'x1'), ('bin_equal_width_5', 'x6'))",384
"(3.9514, 3.9517]",3.9513889871159544,3.95166049723661,2,"(('bin_equal_frequency_10', 'x1'), ('bin_equal_width_5', 'x6'))",702
"(3.9517, 3.9519]",3.9516664823621035,3.951929658269094,2,"(('bin_equal_frequency_5', 'x2'), ('bin_equal_width_5', 'x6'))",345
"(3.9519, 3.9522]",3.951941184418615,3.9522051419188164,3,"(('bin_equal_frequency_5', 'x1'), ('bin_equal_width_2', 'x2'), ('zscore_filter_3', 'x5'))",64
"(3.9522, 3.9525]",3.952216513514758,3.9524776871950063,2,"(('bin_equal_frequency_5', 'x1'), ('zscore_filter_3', 'x5'))",237
"(3.9525, 3.9528]",3.9524855404238095,3.95275123492598,2,"(('norm_log', 'x1'), ('zscore_filter_3', 'x5'))",138
"(3.9528, 3.953]",3.9527597281083766,3.953031890677376,2,"(('zscore_filter_3', 'x5'), ('zscore_filter_3', 'x2'))",121
"(3.953, 3.9533]",3.9530383757667895,3.953295498299976,2,"(('bin_equal_frequency_10', 'x1'), ('zscore_filter_3', 'x5'))",271
"(3.9533, 3.9536]",3.9533113962664315,3.95355891112279,3,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_frequency_2', 'x2'), ('IQR', 'x6'))",191
"(3.9536, 3.9539]",3.9535954164580054,3.9538526530703817,3,"(('bin_equal_frequency_5', 'x1'), ('bin_equal_frequency_2', 'x2'), ('bin_equal_width_5', 'x6'))",46
"(3.9539, 3.9541]",3.9538586467164163,3.9541287113725803,2,"(('bin_equal_width_10', 'x1'), ('zscore_filter_3', 'x5'))",87
"(3.9541, 3.9544]",3.954139998897667,3.9543995936352014,3,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_frequency_5', 'x2'), ('zscore_filter_3', 'x5'))",91
