bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(-0.024349, -0.024347]",-0.02434819444916588,-0.02434779265625854,2,"(('zscore_filter_3', 'birattnd'), ('zscore_filter_3', 'dlivord_min'))",23
"(-0.024344, -0.024342]",-0.02434334383846595,-0.02434334383846595,3,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'), ('bin_equal_width_5', 'gestat10'))",1
"(-0.024342, -0.024341]",-0.024342112616876344,-0.024342112616876344,3,"(('zscore_filter_3', 'adequacy'), ('IQR', 'gestat10'), ('isolationForest', 'adequacy'))",1
"(-0.024341, -0.02434]",-0.024340150322540773,-0.024339976953156213,2,"(('zscore_filter_3', 'dlivord_min'), ('bin_equal_frequency_10', 'infant_id'))",10
"(-0.024338, -0.024337]",-0.024338394250386128,-0.02433762274796523,1,"(('zscore_filter_3', 'dlivord_min'),)",1850
"(-0.024337, -0.024336]",-0.024337198599957418,-0.024336630931062943,2,"(('bin_equal_frequency_2', 'infant_id'), ('zscore_filter_3', 'dlivord_min'))",8
"(-0.024336, -0.024335]",-0.02433591262702039,-0.024335038982236833,2,"(('zscore_filter_3', 'crace'), ('zscore_filter_3', 'drink5'))",10
"(-0.024335, -0.024333]",-0.024334220165999135,-0.024333579151229384,2,"(('bin_equal_frequency_5', 'infant_id'), ('zscore_filter_3', 'dlivord_min'))",14
"(-0.024333, -0.024332]",-0.024333035052323725,-0.024333035052323725,3,"(('norm_log', 'adequacy'), ('isolationForest', 'adequacy'), ('bin_equal_frequency_2', 'gestat10'))",1
"(-0.024331, -0.02433]",-0.024330451038261414,-0.024330450318896295,2,"(('zscore_filter_3', 'frace'), ('zscore_filter_3', 'gestat10'))",7
"(-0.02433, -0.024328]",-0.024328672237398784,-0.024328672237398784,3,"(('norm_log', 'adequacy'), ('bin_equal_frequency_2', 'brstate_reg'), ('isolationForest', 'adequacy'))",1
"(-0.024328, -0.024327]",-0.024327172181078206,-0.024327001284322757,3,"(('isolationForest', 'adequacy'), ('zscore_clip_3', 'crace'), ('zscore_filter_3', 'gestat10'))",3
"(-0.024327, -0.024326]",-0.024326969445791144,-0.02432667396064514,2,"(('zscore_filter_3', 'frace'), ('IQR', 'gestat10'))",9
"(-0.024326, -0.024324]",-0.02432506153041205,-0.0243249060245904,2,"(('bin_equal_width_2', 'dtotord_min'), ('isolationForest', 'adequacy'))",5
"(-0.024324, -0.024323]",-0.024323849313506583,-0.024323411216326907,3,"(('zscore_clip_3', 'adequacy'), ('zscore_clip_3', 'orfath'), ('isolationForest', 'adequacy'))",2
