bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(23574.234, 23749.427]",23689.759623322076,23722.184882450387,20,"(('norm_log', 'floors'), ('bin_equal_frequency_10', 'grade'), ('IQR', 'waterfront'), ('bin_equal_frequency_2', 'sqft_lot15'), ('zscore_clip_3', 'yr_built'), ('bin_equal_frequency_2', 'yr_built'), ('zscore_clip_3', 'sqft_living15'), ('bin_equal_frequency_10', 'condition'), ('zscore_filter_3', 'bedrooms'), ('zscore_filter_3', 'sqft_basement'), ('norm_log', 'bathrooms'), ('norm_log', 'condition'), ('drop_duplicates', 'bedrooms'), ('winsorize', 'sqft_living'), ('norm_log', 'sqft_lot'), ('IQR', 'yr_built'), ('bin_equal_width_5', 'bedrooms'), ('bin_equal_frequency_5', 'sqft_above'), ('norm_log', 'waterfront'), ('zscore_clip_3', 'yr_renovated'))",2
"(23749.427, 23924.619]",23782.507630207536,23871.686954073786,22,"(('zscore_clip_3', 'yr_built'), ('bin_equal_frequency_10', 'view'), ('IQR', 'sqft_lot15'), ('drop_duplicates', 'waterfront'), ('bin_equal_frequency_10', 'floors'), ('bin_equal_width_5', 'sqft_lot'), ('norm_log', 'yr_renovated'), ('IQR', 'yr_renovated'), ('bin_equal_frequency_2', 'bathrooms'), ('winsorize', 'waterfront'), ('isolationForest', 'sqft_living'), ('IQR', 'bedrooms'), ('bin_equal_frequency_2', 'sqft_above'), ('zscore_filter_3', 'sqft_lot15'), ('bin_equal_frequency_10', 'bedrooms'), ('bin_equal_frequency_5', 'sqft_basement'), ('bin_equal_width_5', 'sqft_living15'), ('norm_min_max', 'bedrooms'), ('IQR', 'condition'), ('bin_equal_width_5', 'condition'), ('bin_equal_width_5', 'grade'), ('norm_log', 'waterfront'))",2
"(24275.003, 24450.195]",24366.43156531536,24366.43156531536,23,"(('bin_equal_width_10', 'sqft_basement'), ('IQR', 'sqft_living15'), ('isolationForest', 'floors'), ('norm_min_max', 'grade'), ('norm_log', 'waterfront'), ('norm_log', 'sqft_living'), ('zscore_clip_3', 'sqft_above'), ('zscore_clip_3', 'sqft_basement'), ('bin_equal_frequency_10', 'view'), ('winsorize', 'bedrooms'), ('bin_equal_width_10', 'bedrooms'), ('bin_equal_width_2', 'condition'), ('bin_equal_frequency_10', 'floors'), ('norm_min_max', 'sqft_lot15'), ('IQR', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_width_10', 'waterfront'), ('norm_min_max', 'sqft_above'), ('zscore_filter_3', 'waterfront'), ('bin_equal_frequency_5', 'grade'), ('IQR', 'bedrooms'), ('bin_equal_frequency_5', 'yr_built'), ('bin_equal_width_2', 'sqft_lot15'))",1
"(24450.195, 24625.387]",24452.046225624843,24452.046225624843,3,"(('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_width_5', 'sqft_living15'), ('bin_equal_frequency_2', 'sqft_lot15'))",1
"(24800.579, 24975.771]",24824.694005207428,24874.703932237473,15,"(('zscore_filter_3', 'sqft_lot'), ('winsorize', 'sqft_lot15'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_width_10', 'waterfront'), ('bin_equal_width_2', 'sqft_lot'), ('bin_equal_frequency_10', 'sqft_living'), ('zscore_filter_3', 'yr_built'), ('bin_equal_frequency_10', 'bathrooms'), ('norm_log', 'floors'), ('bin_equal_frequency_2', 'yr_renovated'), ('zscore_clip_3', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'), ('zscore_clip_3', 'waterfront'), ('bin_equal_frequency_5', 'sqft_basement'), ('bin_equal_frequency_10', 'view'))",2
"(25150.964, 25326.156]",25179.996884603752,25202.142403707934,21,"(('bin_equal_frequency_5', 'yr_built'), ('norm_min_max', 'sqft_basement'), ('zscore_filter_3', 'view'), ('zscore_clip_3', 'sqft_above'), ('bin_equal_width_5', 'floors'), ('norm_log', 'yr_renovated'), ('zscore_clip_3', 'yr_built'), ('bin_equal_width_5', 'yr_renovated'), ('bin_equal_width_10', 'sqft_living15'), ('bin_equal_frequency_2', 'bedrooms'), ('norm_log', 'view'), ('norm_log', 'sqft_above'), ('bin_equal_frequency_2', 'sqft_lot15'), ('zscore_clip_3', 'grade'), ('winsorize', 'yr_renovated'), ('bin_equal_width_5', 'condition'), ('norm_min_max', 'bedrooms'), ('IQR', 'sqft_lot15'), ('bin_equal_frequency_2', 'sqft_above'), ('bin_equal_frequency_2', 'sqft_basement'), ('IQR', 'yr_built'))",2
"(25326.156, 25501.348]",25436.67392400238,25436.67392400238,22,"(('norm_log', 'sqft_lot15'), ('drop_duplicates', 'waterfront'), ('bin_equal_width_5', 'condition'), ('norm_min_max', 'yr_renovated'), ('bin_equal_width_10', 'sqft_living15'), ('isolationForest', 'yr_renovated'), ('bin_equal_width_5', 'bedrooms'), ('bin_equal_width_5', 'yr_renovated'), ('zscore_clip_3', 'floors'), ('zscore_filter_3', 'sqft_living15'), ('bin_equal_width_2', 'waterfront'), ('bin_equal_frequency_10', 'sqft_living'), ('zscore_clip_3', 'yr_built'), ('bin_equal_width_2', 'sqft_above'), ('bin_equal_width_5', 'sqft_basement'), ('bin_equal_width_5', 'bathrooms'), ('winsorize', 'sqft_living'), ('norm_min_max', 'sqft_above'), ('IQR', 'sqft_basement'), ('bin_equal_frequency_5', 'yr_built'), ('winsorize', 'floors'), ('winsorize', 'condition'))",1
"(25501.348, 25676.54]",25511.873386337582,25511.873386337582,10,"(('bin_equal_width_2', 'sqft_living'), ('norm_log', 'view'), ('bin_equal_frequency_2', 'sqft_lot15'), ('isolationForest', 'floors'), ('bin_equal_frequency_10', 'yr_renovated'), ('norm_min_max', 'sqft_living'), ('norm_min_max', 'sqft_basement'), ('norm_min_max', 'floors'), ('zscore_clip_3', 'sqft_basement'), ('bin_equal_width_5', 'grade'))",1
"(25676.54, 25851.732]",25706.585488950128,25818.678736992657,3,"(('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_2', 'yr_built'))",5
"(25851.732, 26026.924]",25890.239258696514,25964.73839655108,3,"(('IQR', 'bedrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",3
