bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(661.249, 665.95]",661.7110918429115,664.7379768429311,3,"(('bin_equal_frequency_2', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",40
"(665.95, 670.651]",668.1284953557963,670.0915154512638,4,"(('bin_equal_frequency_2', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'), ('norm_log', 'education'))",8
"(670.651, 675.351]",672.8810404113258,672.8810404113299,4,"(('bin_equal_frequency_2', 'age'), ('zscore_filter_3', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",9
"(675.351, 680.052]",676.068305425153,679.8283283999224,4,"(('zscore_filter_3', 'age'), ('bin_equal_frequency_2', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",20
"(680.052, 684.753]",681.3453548854943,681.3453548854943,5,"(('zscore_filter_3', 'age'), ('bin_equal_frequency_5', 'age'), ('winsorize', 'education'), ('bin_equal_width_5', 'education'), ('isolationForest', 'age'))",1
"(684.753, 689.454]",685.7004129897366,687.305350097081,5,"(('norm_min_max', 'age'), ('IQR', 'age'), ('bin_equal_frequency_10', 'age'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",2
"(689.454, 694.155]",691.9019400475878,692.8068162478307,5,"(('zscore_filter_3', 'age'), ('bin_equal_frequency_2', 'age'), ('zscore_filter_3', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",2
"(694.155, 698.856]",694.4703955116104,695.5140312253708,4,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('bin_equal_width_5', 'education'), ('isolationForest', 'age'))",10
"(698.856, 703.557]",698.9859694868672,700.6319210266952,5,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('bin_equal_width_5', 'education'), ('isolationForest', 'age'), ('norm_log', 'education'))",2
"(703.557, 708.258]",708.1116625821173,708.1116625821173,5,"(('bin_equal_frequency_10', 'age'), ('winsorize', 'education'), ('IQR', 'education'), ('bin_equal_width_5', 'education'), ('isolationForest', 'age'))",1
"(708.258, 712.959]",710.8253438684578,712.4449131527213,3,"(('bin_equal_frequency_2', 'age'), ('bin_equal_width_2', 'education'), ('isolationForest', 'age'))",37
"(712.959, 717.659]",715.057472369454,715.057472369454,5,"(('zscore_clip_3', 'age'), ('IQR', 'age'), ('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",1
"(717.659, 722.36]",718.4741498570774,722.1644637541232,5,"(('bin_equal_frequency_10', 'age'), ('norm_log', 'age'), ('zscore_clip_3', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",2
"(722.36, 727.061]",723.6376809827993,727.0154349712923,3,"(('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",28
"(727.061, 731.762]",727.7126689043943,731.3167848608593,4,"(('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'), ('norm_log', 'age'))",8
"(731.762, 736.463]",731.8606444803074,736.3593838338879,4,"(('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'), ('norm_log', 'education'))",17
"(736.463, 741.164]",736.9628013894929,741.0357209399947,5,"(('bin_equal_frequency_10', 'age'), ('zscore_clip_3', 'education'), ('IQR', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",3
"(741.164, 745.865]",741.2712763355623,744.4988018188852,4,"(('bin_equal_frequency_2', 'age'), ('zscore_clip_3', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",20
"(745.865, 750.566]",746.3127376022846,749.9679586892104,4,"(('bin_equal_frequency_10', 'age'), ('norm_log', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",15
"(755.266, 759.967]",755.4998457979538,758.4357501791326,5,"(('bin_equal_frequency_10', 'age'), ('norm_log', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'), ('norm_log', 'education'))",2
"(759.967, 764.668]",760.3083868968044,762.7146789381628,4,"(('bin_equal_frequency_10', 'age'), ('IQR', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",11
"(764.668, 769.369]",766.1742133322683,769.0814973615697,5,"(('bin_equal_frequency_5', 'age'), ('winsorize', 'education'), ('zscore_clip_3', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",3
"(769.369, 774.07]",769.3761373875714,773.170191482643,4,"(('bin_equal_frequency_10', 'age'), ('IQR', 'education'), ('bin_equal_width_5', 'education'), ('isolationForest', 'age'))",15
"(774.07, 778.771]",775.142430472429,777.204031738079,4,"(('bin_equal_frequency_5', 'age'), ('IQR', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",8
