bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(22646.952, 22818.293]",22654.04418701504,22807.1065693954,13,"(('IQR', 'bedrooms'), ('zscore_filter_3', 'sqft_living15'), ('bin_equal_frequency_5', 'sqft_living15'), ('zscore_filter_3', 'condition'), ('bin_equal_frequency_5', 'bedrooms'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'bathrooms'), ('IQR', 'sqft_above'), ('IQR', 'sqft_lot'), ('zscore_filter_3', 'view'), ('norm_log', 'view'), ('winsorize', 'bedrooms'), ('bin_equal_frequency_10', 'sqft_living'))",4
"(22989.634, 23160.975]",23058.62483268918,23150.190020931885,26,"(('IQR', 'grade'), ('zscore_filter_3', 'sqft_living15'), ('bin_equal_frequency_2', 'sqft_living15'), ('norm_min_max', 'sqft_lot'), ('winsorize', 'grade'), ('bin_equal_frequency_5', 'view'), ('bin_equal_width_5', 'yr_built'), ('bin_equal_width_2', 'sqft_lot'), ('zscore_clip_3', 'sqft_lot'), ('norm_min_max', 'yr_built'), ('bin_equal_width_2', 'bathrooms'), ('bin_equal_frequency_2', 'sqft_lot15'), ('norm_min_max', 'bathrooms'), ('zscore_clip_3', 'sqft_lot15'), ('zscore_filter_3', 'sqft_above'), ('norm_min_max', 'grade'), ('bin_equal_frequency_2', 'sqft_above'), ('bin_equal_frequency_2', 'sqft_living'), ('norm_log', 'condition'), ('bin_equal_width_10', 'grade'), ('zscore_clip_3', 'bedrooms'), ('zscore_filter_3', 'floors'), ('bin_equal_frequency_5', 'bedrooms'), ('isolationForest', 'TABLE'), ('zscore_filter_3', 'condition'), ('IQR', 'bedrooms'))",2
"(23160.975, 23332.316]",23263.00304663321,23314.00313109625,17,"(('zscore_filter_3', 'bathrooms'), ('IQR', 'sqft_basement'), ('bin_equal_width_5', 'sqft_basement'), ('bin_equal_frequency_10', 'yr_built'), ('zscore_filter_3', 'yr_renovated'), ('bin_equal_frequency_5', 'condition'), ('zscore_clip_3', 'sqft_above'), ('bin_equal_width_10', 'floors'), ('norm_min_max', 'yr_renovated'), ('bin_equal_width_2', 'sqft_living15'), ('zscore_clip_3', 'sqft_lot'), ('isolationForest', 'TABLE'), ('bin_equal_width_5', 'yr_renovated'), ('zscore_filter_3', 'floors'), ('IQR', 'sqft_lot'), ('bin_equal_width_5', 'grade'), ('bin_equal_frequency_2', 'sqft_above'))",3
"(23503.657, 23674.998]",23564.73164087173,23564.73164087173,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",1
"(23674.998, 23846.339]",23716.378162196837,23770.360423565086,9,"(('IQR', 'sqft_lot'), ('isolationForest', 'TABLE'), ('bin_equal_frequency_2', 'sqft_living'), ('bin_equal_width_10', 'view'), ('bin_equal_width_10', 'sqft_lot15'), ('norm_log', 'yr_renovated'), ('norm_log', 'sqft_living15'), ('bin_equal_width_2', 'sqft_basement'), ('norm_min_max', 'floors'))",2
"(23846.339, 24017.68]",23911.73092470877,23999.879790166393,22,"(('bin_equal_width_10', 'sqft_basement'), ('zscore_filter_3', 'sqft_basement'), ('bin_equal_frequency_2', 'sqft_lot15'), ('norm_min_max', 'floors'), ('bin_equal_width_10', 'yr_built'), ('zscore_clip_3', 'floors'), ('zscore_clip_3', 'view'), ('zscore_filter_3', 'bathrooms'), ('bin_equal_frequency_2', 'sqft_living15'), ('zscore_clip_3', 'sqft_lot15'), ('bin_equal_frequency_5', 'view'), ('IQR', 'sqft_lot'), ('bin_equal_frequency_5', 'bathrooms'), ('norm_log', 'sqft_lot'), ('norm_min_max', 'yr_renovated'), ('bin_equal_width_2', 'grade'), ('bin_equal_width_2', 'yr_renovated'), ('bin_equal_frequency_5', 'bedrooms'), ('norm_min_max', 'sqft_living'), ('zscore_filter_3', 'yr_built'), ('IQR', 'sqft_living15'), ('bin_equal_width_10', 'floors'))",3
"(24360.361, 24531.702]",24434.761808637413,24475.27510970086,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_width_5', 'sqft_living15'))",3
"(24531.702, 24703.043]",24616.747872009873,24616.747872009873,23,"(('norm_min_max', 'grade'), ('IQR', 'sqft_basement'), ('bin_equal_frequency_2', 'sqft_living15'), ('bin_equal_frequency_10', 'sqft_lot15'), ('IQR', 'yr_built'), ('bin_equal_frequency_10', 'grade'), ('norm_log', 'sqft_basement'), ('winsorize', 'yr_renovated'), ('bin_equal_width_2', 'sqft_living'), ('bin_equal_frequency_5', 'view'), ('zscore_filter_3', 'sqft_living'), ('winsorize', 'view'), ('norm_log', 'sqft_living'), ('norm_min_max', 'view'), ('IQR', 'sqft_living15'), ('zscore_filter_3', 'sqft_living15'), ('zscore_clip_3', 'bedrooms'), ('IQR', 'bedrooms'), ('bin_equal_width_2', 'sqft_basement'), ('zscore_filter_3', 'condition'), ('zscore_filter_3', 'view'), ('bin_equal_width_2', 'sqft_above'), ('norm_log', 'yr_built'))",1
"(24703.043, 24874.384]",24859.86738533061,24859.86738533061,14,"(('bin_equal_width_5', 'sqft_living15'), ('zscore_clip_3', 'yr_built'), ('IQR', 'grade'), ('IQR', 'sqft_living'), ('winsorize', 'sqft_living15'), ('isolationForest', 'TABLE'), ('bin_equal_width_10', 'sqft_lot'), ('norm_log', 'grade'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'bedrooms'), ('bin_equal_width_5', 'sqft_basement'), ('zscore_filter_3', 'view'), ('bin_equal_width_5', 'view'), ('zscore_filter_3', 'grade'))",1
"(24874.384, 25045.725]",24925.956613558927,24932.70237641869,22,"(('bin_equal_width_10', 'sqft_lot15'), ('winsorize', 'sqft_living'), ('zscore_filter_3', 'sqft_living15'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_10', 'yr_built'), ('zscore_filter_3', 'view'), ('bin_equal_frequency_5', 'floors'), ('zscore_clip_3', 'sqft_lot15'), ('zscore_clip_3', 'grade'), ('IQR', 'condition'), ('bin_equal_width_2', 'view'), ('winsorize', 'yr_built'), ('bin_equal_width_10', 'condition'), ('bin_equal_frequency_2', 'grade'), ('norm_min_max', 'sqft_lot'), ('norm_log', 'sqft_living'), ('winsorize', 'sqft_lot15'), ('bin_equal_width_2', 'bedrooms'), ('winsorize', 'yr_renovated'), ('isolationForest', 'TABLE'), ('IQR', 'sqft_basement'), ('norm_log', 'floors'))",2
